Sample ID,Model,MSE,R2,Params,Category
0,Model 7,375.1356531301508,-1.909674924633955,[-0.11023446448800987],C
1,Model 7,29.22348741106007,0.9551036400008706,[-0.03569033908617052],C
2,Model 7,32.9925928055978,0.9563403748374333,[-0.021060558479507607],C
3,Model 7,124.30801804895795,0.7214375532655348,[-0.03395135288128105],C
4,Model 7,140.0108600244119,0.7617910917214394,[-0.17728860497392435],D
5,Model 7,86.37030929929105,0.8443371055991982,[-0.002519917861437298],F
6,Model 7,127.45401677501299,0.8046074024638916,[-0.08020714314550687],B
7,Model 7,316.49474312041315,0.06163589105061451,[-0.0011236083966817182],G
8,Model 7,209.37360720179444,0.5174498389610425,[-0.008691024106383283],E
9,Model 7,517.5633915816608,-0.5734150875612942,[-0.07012202902494817],B
10,Model 7,196.0739991916738,0.65043528110834,[-0.0259628721948918],D
11,Model 7,122.10616853103129,0.1768175353153354,[-0.006834274238852598],D
12,Model 7,395.3138925604627,-1.1212918419025542,[-0.004751014549973264],E
13,Model 7,566.2861958956195,-0.20881854051473092,[-0.10819076812707722],F
14,Model 7,93.19755513772145,0.7317476252885768,[-0.0028326156873407404],F
15,Model 7,397.13994936910166,0.12578389218373542,[-0.007450802894650082],F
16,Model 7,266.4116290180298,0.2867131077959618,[-0.11075780400598813],B
17,Model 7,13.236360545144603,0.9869669612903162,[-0.01417394837751183],D
18,Model 7,242.95746622066687,0.6671083252095433,[-0.017981789759615025],E
19,Model 7,106.24063275013171,0.8389422168982654,[-0.10518296539119264],F
20,Model 7,86.98139666112931,0.8768155711456121,[-0.008860512770570456],E
21,Model 7,22.986342387003,0.9498335417040152,[-0.0021790940611766865],F
22,Model 7,658.8520072929077,-1.1395995250502855,[-0.009362816009670276],E
23,Model 7,129.67486426908917,0.66732316448773,[-0.05633476364079979],B
24,Model 7,227.14241118611017,0.3659011643302863,[-0.0025389462486236675],F
25,Model 7,352.385910943753,0.39468371251129697,[-0.025677689856170024],E
26,Model 7,240.61072936022612,0.5263514041487123,[-0.05131170196637281],E
27,Model 7,108.60484453926249,0.0656093850377566,[-0.7360562178792538],A
28,Model 7,123.90287615451447,0.8244565866305812,[-0.13027913912681963],C
29,Model 7,260.02440886431384,0.6227861171511665,[-0.02808489278474055],E
30,Model 7,314.37020541178,0.30381011995590723,[-0.007439486737278],E
31,Model 7,155.43323401684577,0.7479624108751142,[-0.008759681263978409],G
32,Model 7,30.948252062068224,0.9573971657813706,[-0.14291997805785586],C
33,Model 7,127.98090768106273,0.5879813443285156,[-0.012110051208433226],D
34,Model 7,67.09845136175706,0.9272116929464134,[-0.11961010915289899],C
35,Model 7,329.97341568105344,-0.01257411950957854,[-0.006701904965712197],E
36,Model 7,78.31642101938897,0.9001666996636672,[-0.17133775477500204],E
37,Model 7,104.97030960982514,0.7618657749621254,[-0.2350608491219454],B
38,Model 7,348.93265741668074,-0.09005326288193372,[-0.00123595040283405],D
